/home/baudoin/data/VisDrone/VisDrone2019-DET-val/images/0000283_01001_d_0000679.jpg,1124,320,1245,442,car
/home/baudoin/data/VisDrone/VisDrone2019-DET-val/images/0000283_01001_d_0000679.jpg,1067,140,1105,171,car
/home/baudoin/data/VisDrone/VisDrone2019-DET-val/images/0000283_01001_d_0000679.jpg,1382,136,1426,162,car
/home/baudoin/data/VisDrone/VisDrone2019-DET-val/images/0000026_02000_d_0000028.jpg,485,604,702,706,car
/home/baudoin/data/VisDrone/VisDrone2019-DET-val/images/0000026_02000_d_0000028.jpg,728,232,805,364,car
/home/baudoin/data/VisDrone/VisDrone2019-DET-val/images/0000026_02000_d_0000028.jpg,1048,536,1236,632,car
/home/baudoin/data/VisDrone/VisDrone2019-DET-val/images/0000026_02000_d_0000028.jpg,1006,417,1195,514,car
/home/baudoin/data/VisDrone/VisDrone2019-DET-val/images/0000026_02000_d_0000028.jpg,970,20,1100,84,car
/home/baudoin/data/VisDrone/VisDrone2019-DET-val/images/0000026_02000_d_0000028.jpg,1123,677,1325,766,car
/home/baudoin/data/VisDrone/VisDrone2019-DET-val/images/0000026_02000_d_0000028.jpg,856,1,920,50,car
/home/baudoin/data/VisDrone/VisDrone2019-DET-val/images/0000026_02000_d_0000028.jpg,975,99,1087,172,car
/home/baudoin/data/VisDrone/VisDrone2019-DET-val/images/0000330_04401_d_0000822.jpg,239,216,315,260,car
/home/baudoin/data/VisDrone/VisDrone2019-DET-val/images/0000330_04401_d_0000822.jpg,239,497,356,608,car
/home/baudoin/data/VisDrone/VisDrone2019-DET-val/images/0000330_04401_d_0000822.jpg,753,171,792,209,car
/home/baudoin/data/VisDrone/VisDrone2019-DET-val/images/0000330_04401_d_0000822.jpg,355,134,407,165,car
/home/baudoin/data/VisDrone/VisDrone2019-DET-val/images/0000330_04401_d_0000822.jpg,565,399,631,452,tricycle
/home/baudoin/data/VisDrone/VisDrone2019-DET-val/images/0000330_04401_d_0000822.jpg,1174,192,1234,230,car
/home/baudoin/data/VisDrone/VisDrone2019-DET-val/images/0000330_04401_d_0000822.jpg,1150,265,1223,313,car
/home/baudoin/data/VisDrone/VisDrone2019-DET-val/images/0000330_04401_d_0000822.jpg,988,257,1071,315,car
/home/baudoin/data/VisDrone/VisDrone2019-DET-val/images/0000330_04401_d_0000822.jpg,1063,236,1133,283,car
